City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,antalaha,-14.9003,50.2788,25.16,68,2,6.84,MG,1689166956
83,geraldton,-28.7667,114.6,9.23,93,0,0.0,AU,1689166956
84,punta arenas,-53.15,-70.9167,1.06,93,100,3.6,CL,1689166959
85,kayyerkan,69.3786,87.7439,4.61,86,100,8.42,RU,1689166961
86,lebu,-37.6167,-73.65,8.54,69,88,2.74,CL,1689166962
87,flying fish cove,-10.4217,105.6791,24.82,83,40,6.17,CX,1689166964
88,christchurch,-43.5333,172.6333,1.64,94,7,1.03,NZ,1689166569
89,kodiak,57.79,-152.4072,10.73,93,100,3.09,US,1689166969
90,taoudenni,22.6783,-3.9836,47.34,5,0,5.86,ML,1689166970
91,tiksi,71.6872,128.8694,3.34,97,100,4.05,RU,1689166971
92,port alfred,-33.5906,26.891,18.99,60,0,0.45,ZA,1689166973
93,lazaro cardenas,17.9583,-102.2,24.73,92,100,4.2,MX,1689166978
94,yuzhno-kurilsk,44.0306,145.8556,14.94,99,100,1.66,RU,1689166979
95,mareeba,-17.0,145.4333,19.4,86,59,0.84,AU,1689166980
96,isafjordur,66.0755,-23.124,12.02,47,0,4.12,IS,1689166982
97,sao joao da barra,-21.6403,-41.0511,25.05,77,36,2.4,BR,1689166983
98,kristiansund,63.1115,7.732,24.03,52,40,6.69,NO,1689166985
99,atafu village,-8.5421,-172.5159,28.55,74,99,5.85,TK,1689166986
100,dudinka,69.4058,86.1778,4.79,55,100,8.25,RU,1689166987
101,hereford,52.0568,-2.7148,21.23,78,100,1.79,GB,1689166907
102,banda aceh,5.5577,95.3222,27.54,78,46,3.43,ID,1689166990
103,kingston,17.997,-76.7936,30.69,74,20,2.06,JM,1689166645
104,el tocuyo,9.7873,-69.7937,26.5,65,18,2.27,VE,1689166993
105,uliastay,47.7417,96.8444,12.11,86,100,0.68,MN,1689166995
106,petauke,-14.2426,31.3253,19.97,39,51,4.68,ZM,1689166996
107,margaret river,-33.95,115.0667,16.88,78,100,10.69,AU,1689166998
108,puerto ayora,-0.7393,-90.3518,25.31,92,92,4.47,EC,1689166795
109,shakawe,-18.3667,21.85,20.72,25,0,4.71,BW,1689167000
110,tazovsky,67.4667,78.7,8.49,48,11,5.85,RU,1689167002
111,pizarro,4.9533,-77.366,26.59,81,76,1.66,CO,1689167003
112,kushiro,42.975,144.3747,17.88,100,99,0.08,JP,1689167005
113,masuguru,-11.3667,38.4167,31.67,25,0,4.39,TZ,1689167006
114,francistown,-21.17,27.5079,15.38,44,63,8.26,BW,1689167008
115,alofi,-19.0595,-169.9187,22.94,94,73,2.06,NU,1689167009
116,nantucket,41.2835,-70.0995,30.03,83,0,4.12,US,1689166986
117,nova sintra,14.8667,-24.7167,21.48,75,100,4.66,CV,1689167012
118,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,81,0,2.0,RU,1689167016
119,college,64.8569,-147.8028,14.21,91,75,3.6,US,1689167017
120,saint-ave,47.6833,-2.75,22.16,56,75,4.12,FR,1689167018
121,ust-nera,64.5667,143.2,19.08,60,100,2.67,RU,1689167020
122,talnakh,69.4865,88.3972,4.56,65,100,8.09,RU,1689167021
